"Province_State";"Country_Region";"Lat";"Long_";"Confirmed";"Deaths"
"Colorado";"US";39.63803232;-106.1150762;5196;11
"Colorado";"US";38.88133511;-105.1614893;3188;39
"Colorado";"US";NA;NA;102;0
"Colorado";"US";39.97015535;-103.202587;735;23
"Colorado";"US";40.55499405;-104.3929621;51251;510
"Colorado";"US";40.00346839;-102.4258673;1350;18
"Connecticut";"US";41.26809896;-73.3881171;114474;2319
"Connecticut";"US";41.80283011;-72.73103891;101174;2611
"Connecticut";"US";41.7937534;-73.2451475;17901;334
"Connecticut";"US";41.45949668;-72.53714864;15352;400
"Connecticut";"US";41.4080325;-72.93620426;107964;2262
"Connecticut";"US";41.48896435;-72.10430976;28789;499
"Connecticut";"US";41.85853803;-72.3308481;11724;199
"Connecticut";"US";NA;NA;1391;3
"Connecticut";"US";41.82972709;-71.98182316;14149;223
"Delaware";"US";39.08646628;-75.56884914;27536;465
"Delaware";"US";39.57992638;-75.64054974;85521;1047
"Delaware";"US";38.66143781;-75.39031349;36907;647
"Delaware";"US";NA;NA;421;0
"Diamond Princess";"US";NA;NA;49;0
"District of Columbia";"US";38.90417773;-77.01655992;66028;1196
"Florida";"US";29.67866525;-82.35928158;40253;285
"Florida";"US";30.33060121;-82.28467476;6022;62
"Florida";"US";30.26548745;-85.62122584;32742;394
"Florida";"US";29.95079741;-82.16611613;5361;58
"Florida";"US";28.29409504;-80.73091022;82080;914
"Florida";"US";26.15184651;-80.48725556;362721;3079
"Florida";"US";30.40666734;-85.19394153;3014;45
"Florida";"US";26.90131002;-81.92949121;23696;437
"Florida";"US";28.84804315;-82.47614748;20657;463
"Florida";"US";29.98319144;-81.85609986;34027;352
"Florida";"US";26.11091986;-81.34687065;58636;551
"Florida";"US";30.22509788;-82.62160164;15004;170
"Florida";"US";27.18677893;-81.80941373;6974;97
"Florida";"US";29.60631086;-83.15724673;2968;24
"Florida";"US";30.33225875;-81.66976468;166899;1483
"Florida";"US";30.67652764;-87.37284571;57661;706
"Florida";"US";29.45933576;-81.31508595;14607;114
"Florida";"US";29.83791238;-84.82731662;2269;20
"Florida";"US";30.57796289;-84.61915825;8707;99
"Florida";"US";29.72856978;-82.79880657;3180;44
"Florida";"US";26.95635849;-81.18996211;1459;19
"Florida";"US";29.93543004;-85.2427099;3002;45
"Florida";"US";30.49673973;-82.94998918;2772;25
"Florida";"US";27.49293939;-81.80956574;6111;45
"Florida";"US";26.55386945;-81.16469006;8028;87
"Florida";"US";28.55364461;-82.42700204;28783;482
"Florida";"US";27.34254618;-81.34071957;16150;366
"Florida";"US";27.9276559;-82.32013172;245680;1832
"Florida";"US";30.86747479;-85.81319222;3891;49
"Florida";"US";27.69308961;-80.60556721;22345;306
"Florida";"US";30.7954597;-85.21500423;10225;158
"Florida";"US";30.43669112;-83.89442308;2518;28
"Florida";"US";29.98484137;-83.18166636;2223;26
"Florida";"US";28.76202069;-81.7125123;55740;663
"Florida";"US";26.58410348;-81.88399313;128243;1009
"Florida";"US";30.45955727;-84.27491114;51935;332
"Florida";"US";29.31829741;-82.74007147;7053;56
"Florida";"US";30.23766008;-84.8829258;1834;16
"Florida";"US";30.44396917;-83.47398594;3662;45
"Florida";"US";27.47196942;-82.31831044;66185;689
"Florida";"US";29.21227113;-82.05803627;57347;996
"Florida";"US";27.0772071;-80.43109784;20552;335
"Florida";"US";25.6112362;-80.55170587;684494;6472
"Florida";"US";25.20904673;-81.07812416;11149;52
"Florida";"US";30.61037141;-81.80297522;15617;127
"Florida";"US";30.69143028;-86.59267105;34948;367
"Florida";"US";27.3863362;-80.88944347;7468;89
"Florida";"US";28.51367621;-81.31799498;231968;1310
"Florida";"US";28.06312234;-81.14882926;73149;529
"Florida";"US";26.64676272;-80.46536002;229772;2883
"Florida";"US";28.30810945;-82.40227529;80128;802
"Florida";"US";27.93130349;-82.72239666;137413;1671
"Florida";"US";27.95027105;-81.69732947;130013;1387
"Florida";"US";29.60779729;-81.74230285;12859;160
"Florida";"US";30.6934145;-87.02458128;32854;291
"Florida";"US";27.18546175;-82.33174248;57318;844
"Florida";"US";28.7158582;-81.24060348;63187;516
"Florida";"US";29.90096506;-81.43589967;41421;221
"Florida";"US";27.37763908;-80.47106649;48233;657
"Florida";"US";28.70181754;-82.0794267;14814;284
"Florida";"US";30.19746066;-82.9909967;9288;140
"Florida";"US";30.04848048;-83.60445406;4607;48
"Florida";"US";NA;NA;2961;24108
"Florida";"US";30.04412971;-82.37497443;3078;74
"Florida";"US";29.05858895;-81.18263252;77571;846
"Florida";"US";30.16548905;-84.39895211;6464;56
"Florida";"US";30.64204028;-86.16935664;12934;89
"Florida";"US";30.61359259;-85.66002461;4579;52
"Georgia";"US";31.74847232;-82.28909114;3525;106
"Georgia";"US";31.29633502;-82.87545866;1582;37
"Georgia";"US";31.55456473;-82.45936528;2633;62
"Georgia";"US";31.32669878;-84.44218806;372;14
"Georgia";"US";33.06882326;-83.24701748;6740;196
"Georgia";"US";34.35607081;-83.49644388;2777;65
"Georgia";"US";33.99148694;-83.71436292;14932;200
"Georgia";"US";34.23732119;-84.83887523;20747;359
"Georgia";"US";31.76095874;-83.22145359;3235;105
"Georgia";"US";31.27590016;-83.2252992;3499;70
"Georgia";"US";32.80904227;-83.70489165;25947;651
"Georgia";"US";32.43829035;-83.33035166;2324;81
"Georgia";"US";31.19576557;-81.97743999;3134;88
"Georgia";"US";30.83922642;-83.58303423;2433;72
"Georgia";"US";32.00979311;-81.44002948;6318;72
"Georgia";"US";32.39577406;-81.74811421;11210;210
"Georgia";"US";33.05917989;-81.99928721;3749;85
"Georgia";"US";33.2830945;-83.9543504;4746;123
"Georgia";"US";31.53169785;-84.62725131;845;21
"Georgia";"US";30.92951916;-81.66601818;8031;97
"Georgia";"US";32.40209349;-82.07702563;1561;87
"Georgia";"US";33.58138199;-85.07976677;16523;330
"Georgia";"US";34.89872298;-85.13757014;9735;115
"Georgia";"US";30.78371028;-82.13951596;2266;56
"Georgia";"US";32.00043026;-81.12489526;38948;711
"Georgia";"US";32.34341231;-84.78809239;6025;20
"Georgia";"US";34.47197698;-85.34535662;4624;106
"Georgia";"US";34.24393976;-84.47431861;44264;474
"Georgia";"US";33.95436462;-83.37124007;20275;186
"Georgia";"US";31.62221166;-84.97713865;312;4
"Georgia";"US";33.54187245;-84.35594188;39849;763
"Georgia";"US";30.91395822;-82.70432472;1496;36
"Georgia";"US";33.94243204;-84.5761255;111048;1415
"Georgia";"US";31.54892966;-82.8549206;7925;237
"Georgia";"US";31.18810588;-83.7677946;7536;199
"Georgia";"US";33.54534185;-82.263524;25106;311
"Georgia";"US";31.16068491;-83.42947229;3620;63
"Georgia";"US";33.35334302;-84.76129976;21096;383
"Georgia";"US";32.71391813;-83.98061238;1152;45
"Georgia";"US";31.92289565;-83.76811843;3154;114
"Georgia";"US";34.8549167;-85.50490424;2188;21
"Georgia";"US";34.44244079;-84.16964071;4712;77
"Georgia";"US";33.76944049;-84.22396017;92873;1361
"Georgia";"US";30.87967778;-84.57619536;4786;104
"Georgia";"US";32.17265114;-83.16948926;3621;128
"Georgia";"US";32.15630737;-83.79746561;1655;60
"Georgia";"US";31.53328528;-84.21722377;12509;422
"Georgia";"US";33.70291126;-84.77026156;22558;304
"Georgia";"US";31.32155345;-84.90255207;1881;57
"Georgia";"US";30.71101099;-82.89687287;729;11
"Georgia";"US";32.36616021;-81.34280942;8903;174
"Georgia";"US";34.11302332;-82.83936148;3360;89
"Georgia";"US";32.59221302;-82.30239915;4455;136
"Georgia";"US";32.15328841;-81.8870105;1641;54
"Georgia";"US";34.86430205;-84.316964;3828;108
"Georgia";"US";33.41357794;-84.49089434;13365;242
"Georgia";"US";34.26268279;-85.21577392;18571;387
"Georgia";"US";34.22604035;-84.1231513;34603;286
"Georgia";"US";34.37525597;-83.23159927;3966;84
"Georgia";"US";33.79216944;-84.46319413;133728;1819
"Georgia";"US";34.69316688;-84.45802506;4770;137
"Georgia";"US";33.22879932;-82.61297636;414;21
"Georgia";"US";31.23279254;-81.53811412;15405;339
"Georgia";"US";34.50487351;-84.87296253;11438;202
"Georgia";"US";30.87454847;-84.23418364;3661;92
"Georgia";"US";33.5769205;-83.17139104;2735;73
"Georgia";"US";33.96044201;-84.02137802;135293;1511
"Georgia";"US";34.63331566;-83.53094677;7484;210
"Georgia";"US";34.32207823;-83.81896936;38724;663
"Georgia";"US";33.2721566;-82.99766919;1125;82
"Georgia";"US";33.79602175;-85.21005667;3825;125
"Georgia";"US";32.73709786;-84.90538572;3832;95
"Georgia";"US";34.34626973;-82.96567682;3549;73
"Georgia";"US";33.29686567;-85.12886832;1486;41
"Georgia";"US";33.4533428;-84.1481466;38646;512
"Georgia";"US";32.45802497;-83.66879087;25466;399
"Georgia";"US";31.60213036;-83.27501387;1439;40
"Georgia";"US";34.13794553;-83.56814788;14889;222
"Georgia";"US";33.31535543;-83.68844964;2168;60
"Georgia";"US";31.80405727;-82.6372487;2966;60
"Georgia";"US";33.05867328;-82.41609057;2703;87
"Georgia";"US";32.79248718;-81.96040187;1188;58
"Georgia";"US";32.70211082;-82.66166794;1561;63
"Georgia";"US";33.02512137;-83.56019163;3534;95
"Georgia";"US";33.07841647;-84.14263877;3460;97
"Georgia";"US";31.0382857;-83.06472457;1478;17
"Georgia";"US";32.46325233;-82.92221316;9176;247
"Georgia";"US";31.7793306;-84.14324253;4765;81
"Georgia";"US";31.82588896;-81.49251135;7593;125
"Georgia";"US";33.79201475;-82.45024131;1203;33
"Georgia";"US";31.75218791;-81.74952375;1769;26
"Georgia";"US";30.83568832;-83.27056716;21457;320
"Georgia";"US";34.57286511;-84.00425681;4824;109
"Georgia";"US";32.35207048;-84.04234127;1337;44
"Georgia";"US";34.12920917;-83.21218732;5011;80
"Georgia";"US";32.3483402;-84.52733571;977;40
"Georgia";"US";33.47851918;-82.48252774;3548;77
"Georgia";"US";31.49683595;-81.40163426;1711;31
"Georgia";"US";33.04163534;-84.68859732;2997;118
"Georgia";"US";31.16568912;-84.73151117;1235;23
"Georgia";"US";31.22483255;-84.19381821;3378;101
"Georgia";"US";33.014289;-83.92097166;4267;151
"Georgia";"US";32.17201038;-82.53527476;1523;43
"Georgia";"US";33.59232073;-83.49129491;3279;45
"Georgia";"US";34.78897608;-84.74993177;7656;141
"Georgia";"US";32.50931999;-84.87142262;24426;657
"Georgia";"US";33.55514538;-83.8454714;16504;355
"Georgia";"US";33.83749973;-83.43679568;5810;81
"Georgia";"US";33.8786296;-83.08278123;2231;43
"Georgia";"US";NA;NA;41639;1105
"Georgia";"US";33.91969522;-84.86848792;25510;345
"Georgia";"US";32.56934316;-83.82937;4172;108
"Georgia";"US";34.46589159;-84.46406611;5640;120
"Georgia";"US";31.35928155;-82.21598442;4307;104
"Georgia";"US";33.09310242;-84.38790389;3855;70
"Georgia";"US";34.00267074;-85.18677781;8590;162
"Georgia";"US";32.23334561;-83.4754996;1524;61
"Georgia";"US";33.32056115;-83.37552891;3265;84
"Georgia";"US";31.86728114;-85.01773177;257;4
"Georgia";"US";34.88389445;-83.40304637;2624;74
"Georgia";"US";31.76622818;-84.75732369;1008;43
"Georgia";"US";33.35777107;-82.07026432;35392;726
"Georgia";"US";33.65145002;-84.02202167;11582;244
"Georgia";"US";32.2654021;-84.31258912;698;8
"Georgia";"US";32.74976524;-81.60779441;1799;62
"Georgia";"US";30.93464824;-84.86823924;1521;25
"Georgia";"US";33.26310031;-84.28013991;10478;322
"Georgia";"US";34.55151201;-83.29405315;4827;119
"Georgia";"US";32.07996777;-84.83208037;1530;29
"Georgia";"US";32.03650571;-84.19821492;4284;137
"Georgia";"US";32.69642758;-84.53351366;741;27
"Georgia";"US";33.56543317;-82.88136816;168;3
"Georgia";"US";32.04785085;-82.05539188;3832;111
"Georgia";"US";32.55792548;-84.25077141;1290;38
"Georgia";"US";31.92829517;-82.93491155;2275;74
"Georgia";"US";31.77527543;-84.44069698;1235;57
"Georgia";"US";30.86392347;-83.91847289;7732;182
"Georgia";"US";31.45743864;-83.5236119;8362;184
"Georgia";"US";32.12059861;-82.32957247;5481;173
"Georgia";"US";34.91369188;-83.7410746;1781;83
"Georgia";"US";32.40422134;-82.56904553;1242;53
"Georgia";"US";33.03349196;-85.02812115;10898;321
"Georgia";"US";31.71612656;-83.62069378;1721;49
"Georgia";"US";32.67435595;-83.43078662;1105;62
"Georgia";"US";NA;NA;3782;10
"Georgia";"US";34.82995757;-83.98967069;3564;129
"Georgia";"US";32.87920671;-84.30024826;5452;183
"Georgia";"US";34.73376362;-85.30165174;11501;157
"Georgia";"US";33.78017694;-83.73552314;15175;350
"Georgia";"US";31.05449097;-82.42224148;7397;248
"Georgia";"US";33.41146451;-82.67795848;768;26
"Georgia";"US";32.96711864;-82.79357039;3233;124
"Georgia";"US";31.5521809;-81.91894878;5834;172
"Georgia";"US";32.04066113;-84.54742852;271;6
"Georgia";"US";32.12009104;-82.72574721;978;35
"Georgia";"US";34.64624278;-83.74905525;4827;132
"Georgia";"US";34.80987459;-84.96093476;22910;346
"Georgia";"US";31.97496928;-83.43438555;1281;60
"Georgia";"US";33.78290391;-82.74286107;1569;38
"Georgia";"US";32.80291082;-83.17140684;1514;46
"Georgia";"US";31.55162306;-83.85090513;3086;93
"Grand Princess";"US";NA;NA;103;3
"Guam";"US";13.4443;144.7937;19069;262
"Hawaii";"US";19.60121157;-155.5210167;11596;132
"Hawaii";"US";21.45803166;-157.9712182;59184;747
"Hawaii";"US";22.03935037;-159.5966786;2985;13
"Hawaii";"US";20.86399628;-156.5689097;10227;99
"Hawaii";"US";NA;NA;2855;11
"Hawaii";"US";NA;NA;0;0
"Idaho";"US";43.4526575;-116.2415516;84478;819
"Idaho";"US";44.89333571;-116.4545247;548;14
"Idaho";"US";42.67002716;-112.2233311;14071;196
"Idaho";"US";42.28269683;-111.3289238;725;14
"Idaho";"US";47.21754179;-116.6586851;1370;28
"Idaho";"US";43.2167288;-112.3978437;7135;126
"Idaho";"US";43.4085812;-113.9752658;3137;27
"Idaho";"US";43.98829931;-115.7309284;811;11
"Idaho";"US";48.29996017;-116.6017932;6267;119
"Idaho";"US";43.38713372;-111.6161537;21255;227
"Idaho";"US";48.76684761;-116.4630179;1667;42
"Idaho";"US";43.72592209;-113.1735463;378;4
"Idaho";"US";43.46665742;-114.8065892;108;1
"Idaho";"US";43.61970148;-116.7095499;43101;570
"Idaho";"US";42.77149116;-111.5597683;1040;21
"Idaho";"US";42.28347888;-113.6012409;3956;42
"Idaho";"US";44.28496071;-112.3505704;88;0
"Idaho";"US";46.67459924;-115.6622393;1656;26
"Idaho";"US";44.24186819;-114.2855494;394;6
"Idaho";"US";43.3507101;-115.4701578;4323;50
"Idaho";"US";42.18332217;-111.8149666;1709;23
"Idaho";"US";44.22800938;-111.4809943;1600;17
"Idaho";"US";44.06482372;-116.398376;2871;68
"Idaho";"US";42.96927962;-114.8108306;2337;43
"Idaho";"US";45.84721541;-115.4634436;2267;38
"Idaho";"US";43.82078483;-112.3131749;4363;49
"Idaho";"US";42.68891267;-114.2655033;4339;53
"Idaho";"US";47.67282258;-116.7020872;30457;435
"Idaho";"US";46.81587887;-116.7113698;4688;40
"Idaho";"US";44.9438088;-113.9309747;927;20
"Idaho";"US";46.23315327;-116.434146;816;23
"Idaho";"US";43.0012336;-114.1358773;714;14
"Idaho";"US";43.78141028;-111.6538474;8987;40
"Idaho";"US";42.85518524;-113.6357257;3230;49
"Idaho";"US";46.32638236;-116.7500975;6312;102
"Idaho";"US";42.1949428;-112.5407838;574;10
"Idaho";"US";42.58016894;-116.1693871;1681;40
"Idaho";"US";44.00545243;-116.7647695;4232;69
"Idaho";"US";42.69254894;-112.8395742;1099;16
"Idaho";"US";47.35364087;-115.8916749;2071;63
"Idaho";"US";43.75303583;-111.2056773;1704;6
"Idaho";"US";42.35440512;-114.6685381;16353;225
"Idaho";"US";NA;NA;2;0
"Idaho";"US";44.76728382;-115.5676773;1545;13
"Idaho";"US";44.45275475;-116.7847688;1910;47
"Illinois";"US";39.98815591;-91.18786813;13959;158
"Illinois";"US";37.18049267;-89.32910838;798;13
"Illinois";"US";38.88829622;-89.43534887;2688;28
"Illinois";"US";42.32359279;-88.82345779;8393;84
"Illinois";"US";39.96209138;-90.75068024;1092;12
"Illinois";"US";41.40385234;-89.5283051;4758;97
"Illinois";"US";39.16840183;-90.66330078;746;2
"Illinois";"US";42.06823429;-89.93395545;2539;41
"Illinois";"US";39.96991073;-90.24734436;2738;31
"Illinois";"US";40.13919438;-88.20046615;28789;203
"Illinois";"US";39.54581621;-89.27780482;5648;83
"Illinois";"US";39.33425789;-87.78705622;2871;42
"Illinois";"US";38.75388572;-88.48914513;2748;54
"Illinois";"US";38.60704876;-89.42385254;7338;105
"Illinois";"US";39.51949084;-88.22358557;8372;132
"Illinois";"US";41.84144849;-87.81658794;663016;11429
"Illinois";"US";39.0032229;-87.75954624;3473;31
"Illinois";"US";39.27432424;-88.2401158;2000;27
"Illinois";"US";40.17514519;-88.90959682;2296;30
"Illinois";"US";41.89373302;-88.76958483;12971;137
"Illinois";"US";39.76768052;-88.21854195;3446;38
"Illinois";"US";41.85116968;-88.08642662;114540;1401
"Illinois";"US";39.6809186;-87.74759563;2789;50
"Illinois";"US";38.41353228;-88.05720863;1101;19
"Illinois";"US";39.05935711;-88.58969584;6986;104
"Illinois";"US";39.00072038;-89.02452658;4534;69
"Illinois";"US";40.59706922;-88.22350769;2599;59
"Illinois";"US";37.99189086;-88.92567818;7550;118
"Illinois";"US";40.47289135;-90.20862357;5499;85
"Illinois";"US";37.76430935;-88.22953869;809;9
"Illinois";"US";39.35907414;-90.388865;2131;40
"Illinois";"US";41.28569601;-88.41905692;7874;90
"Illinois";"US";38.08163641;-88.53883373;1395;23
"Illinois";"US";40.40423981;-91.16313899;2952;35
"Illinois";"US";37.51810645;-88.26873022;648;16
"Illinois";"US";40.81908672;-90.92491462;793;14
"Illinois";"US";41.3533994;-90.13296166;7045;82
"Illinois";"US";40.74717633;-87.82466784;4479;81
"Illinois";"US";37.78595185;-89.38232563;8294;95
"Illinois";"US";39.01054275;-88.15437049;1698;21
"Illinois";"US";38.29980057;-88.9240025;6861;147
"Illinois";"US";39.08869046;-90.35393073;3584;54
"Illinois";"US";42.36542373;-90.21094405;2459;29
"Illinois";"US";37.45939802;-88.88165419;2412;32
"Illinois";"US";41.93842729;-88.42861412;71661;896
"Illinois";"US";41.13746989;-87.86205334;18940;264
"Illinois";"US";41.59081014;-88.42869583;17255;118
"Illinois";"US";40.93148779;-90.2133034;7777;175
"Illinois";"US";41.3442613;-88.88633881;15724;292
"Illinois";"US";42.3224907;-88.00367925;84549;1106
"Illinois";"US";38.71987914;-87.72884035;3435;36
"Illinois";"US";41.74583951;-89.29977132;5015;65
"Illinois";"US";40.89188292;-88.55784752;6173;100
"Illinois";"US";40.12581572;-89.36638784;5139;76
"Illinois";"US";39.86064913;-88.96342505;16142;255
"Illinois";"US";39.26119767;-89.92424028;7421;115
"Illinois";"US";38.83042506;-89.90422563;41733;612
"Illinois";"US";38.64963204;-88.91899208;7348;149
"Illinois";"US";41.0327901;-89.34510444;1477;23
"Illinois";"US";40.23917274;-89.91824452;2227;53
"Illinois";"US";37.22078441;-88.71036614;2277;54
"Illinois";"US";40.45674722;-90.67775541;3926;66
"Illinois";"US";42.32451172;-88.45248227;37508;340
"Illinois";"US";40.48996987;-88.84621113;24442;228
"Illinois";"US";40.02742725;-89.80246001;1861;14
"Illinois";"US";41.20596782;-90.74290052;2232;37
"Illinois";"US";38.27594376;-90.17761038;5463;105
"Illinois";"US";39.23198845;-89.47809254;5214;83
"Illinois";"US";39.71654544;-90.20255104;5244;102
"Illinois";"US";39.64187451;-88.62099969;2546;33
"Illinois";"US";42.04165196;-89.32184679;8211;94
"Illinois";"US";NA;NA;9;0
"Illinois";"US";40.78702156;-89.76078901;28099;383
"Illinois";"US";38.08510853;-89.36856219;4482;77
"Illinois";"US";40.01360584;-88.59319339;2159;14
"Illinois";"US";39.62265059;-90.8877017;2786;58
"Illinois";"US";37.41391284;-88.56152109;572;6
"Illinois";"US";37.22631423;-89.13085001;1079;12
"Illinois";"US";41.2013541;-89.2869272;605;4
"Illinois";"US";38.05095369;-89.82512254;5670;103
"Illinois";"US";38.71240969;-88.08475366;3010;59
"Illinois";"US";41.46613806;-90.57042164;20155;374
"Illinois";"US";37.75332999;-88.54119706;4474;71
"Illinois";"US";39.75836914;-89.65872023;26783;294
"Illinois";"US";40.1571798;-90.61114163;1153;12
"Illinois";"US";39.6429169;-90.47814431;722;7
"Illinois";"US";39.39133527;-88.80611122;3745;51
"Illinois";"US";38.46996033;-89.93063427;37659;616
"Illinois";"US";41.09309773;-89.79745866;860;29
"Illinois";"US";42.35129217;-89.662598;6679;102
"Illinois";"US";40.50716185;-89.51404662;21545;348
"Illinois";"US";NA;NA;76;2433
"Illinois";"US";37.47119609;-89.25548938;3215;49
"Illinois";"US";40.18417171;-87.73384359;15606;208
"Illinois";"US";38.44272901;-87.84922065;2220;19
"Illinois";"US";40.84925021;-90.6147432;2565;68
"Illinois";"US";38.35309213;-89.40982703;2196;30
"Illinois";"US";38.42955355;-88.42586459;3184;65
"Illinois";"US";38.08706198;-88.17657461;2863;33
"Illinois";"US";41.75509713;-89.91556058;8789;188
"Illinois";"US";41.44619267;-87.97862712;96506;1153
"Illinois";"US";37.73033511;-88.92994027;12451;182
"Illinois";"US";42.33641854;-89.16085327;45161;579
"Illinois";"US";40.78579374;-89.20973757;6137;92
"Indiana";"US";40.7457653;-84.93671406;5217;80
"Indiana";"US";41.09194313;-85.06800636;63033;855
"Indiana";"US";39.20744865;-85.89558181;12359;186
"Indiana";"US";40.60626947;-87.31093999;1582;17
"Indiana";"US";40.47388153;-85.32499702;2099;44
"Indiana";"US";40.0509304;-86.46841646;9460;120
"Indiana";"US";39.19605589;-86.22868909;1663;49
"Indiana";"US";40.5807832;-86.56198812;2837;37
"Indiana";"US";40.76135835;-86.34830753;7814;126
"Indiana";"US";38.48015445;-85.70510334;19563;271
"Indiana";"US";39.39561833;-87.11723506;4469;60
"Indiana";"US";40.30319754;-86.47277257;6083;76
"Indiana";"US";38.28814402;-86.44518825;1658;29
"Indiana";"US";38.70186039;-87.07185406;4905;116
"Indiana";"US";41.39804622;-84.99906934;7170;105
"Indiana";"US";39.14647946;-84.97333539;8641;98
"Indiana";"US";39.30712658;-85.50087166;4426;108
"Indiana";"US";40.22787247;-85.39732772;15984;281
"Indiana";"US";38.36597551;-86.8792417;8597;137
"Indiana";"US";41.59761169;-85.85875695;38396;532
"Indiana";"US";39.63684962;-85.17797541;4231;92
"Indiana";"US";38.32117957;-85.90385377;11672;225
"Indiana";"US";40.12361933;-87.24217689;3582;62
"Indiana";"US";39.4142482;-85.06062647;2804;44
"Indiana";"US";41.0469907;-86.26252745;3465;70
"Indiana";"US";38.30393723;-87.58054938;6857;116
"Indiana";"US";40.51587228;-85.65468702;11242;231
"Indiana";"US";39.03630547;-86.96223202;4529;97
"Indiana";"US";40.07306535;-86.05244729;48867;478
"Indiana";"US";39.82304555;-85.77566351;12427;183
"Indiana";"US";38.19467379;-86.10948271;6746;95
"Indiana";"US";39.76719009;-86.51037283;25141;376
"Indiana";"US";39.93029017;-85.39625719;8785;162
"Indiana";"US";40.48527731;-86.11351892;15887;307
"Indiana";"US";40.82907273;-85.48822092;7105;104
"Indiana";"US";38.9091582;-86.03851889;7304;92
"Indiana";"US";41.02078733;-87.11553319;5823;88
"Indiana";"US";40.43781032;-85.00576229;3115;48
"Indiana";"US";38.78576239;-85.43633383;5516;102
"Indiana";"US";38.99588883;-85.62710784;4251;66
"Indiana";"US";39.48994426;-86.10149107;26508;459
"Indiana";"US";38.68861576;-87.4194665;6750;112
"Indiana";"US";41.24521668;-85.86312322;13519;156
"Indiana";"US";41.64232188;-85.42674232;4049;89
"Indiana";"US";41.54366008;-86.74072188;16389;260
"Indiana";"US";41.41874274;-87.38277575;69681;1211
"Indiana";"US";38.84112637;-86.48361629;7789;182
"Indiana";"US";40.16143691;-85.71964711;20098;436
"Indiana";"US";39.78163624;-86.13826325;141190;2203
"Indiana";"US";41.32467367;-86.26185087;8658;146
"Indiana";"US";38.7099921;-86.80373186;1484;19
"Indiana";"US";40.76940965;-86.04525048;6292;104
"Indiana";"US";39.16130004;-86.52414358;16069;216
"Indiana";"US";40.04034823;-86.89335024;6717;122
"Indiana";"US";39.47899078;-86.44573375;9970;188
"Indiana";"US";40.95610449;-87.39635768;1724;52
"Indiana";"US";41.39672484;-85.41966713;8742;118
"Indiana";"US";38.955305;-84.96515993;891;13
"Indiana";"US";38.5411892;-86.49523093;3148;69
"Indiana";"US";39.31145587;-86.83900724;3380;75
"Indiana";"US";39.77202286;-87.20375833;2429;30
"Indiana";"US";38.07809328;-86.63741946;2768;53
"Indiana";"US";38.40112197;-87.23574907;2391;44
"Indiana";"US";41.45986947;-87.06848888;24317;374
"Indiana";"US";38.02097333;-87.86480429;3932;44
"Indiana";"US";41.04166107;-86.69890683;1994;58
"Indiana";"US";39.66437981;-86.84517605;6180;82
"Indiana";"US";40.15734772;-85.01139319;3717;106
"Indiana";"US";39.10235626;-85.26212744;5336;92
"Indiana";"US";39.62002287;-85.4655599;2861;32
"Indiana";"US";38.68672078;-85.74627859;4689;78
"Indiana";"US";39.52305623;-85.7915857;7818;127
"Indiana";"US";38.01519732;-87.0079644;3505;46
"Indiana";"US";41.61756781;-86.29040834;47405;635
"Indiana";"US";41.27890281;-86.64686895;3386;72
"Indiana";"US";41.64423868;-85.00101094;6273;84
"Indiana";"US";39.08952258;-87.41414469;3405;54
"Indiana";"US";38.82767338;-85.03022429;1421;12
"Indiana";"US";40.38872739;-86.89413959;29456;271
"Indiana";"US";40.31123252;-86.05234925;2415;64
"Indiana";"US";NA;NA;0;574
"Indiana";"US";39.62550777;-84.92497066;1123;16
"Indiana";"US";38.02658833;-87.58763124;33544;494
"Indiana";"US";39.8523352;-87.46160542;2749;56
"Indiana";"US";39.42944561;-87.39169027;18421;308
"Indiana";"US";40.84704239;-85.79328272;5833;107
"Indiana";"US";40.34728141;-87.35602659;1294;16
"Indiana";"US";38.08922676;-87.2716085;11772;189
"Indiana";"US";38.60219804;-86.1049363;3753;54
"Indiana";"US";39.8633444;-85.01044989;11668;260
"Indiana";"US";40.72934187;-85.22132966;4534;95
"Indiana";"US";40.74911165;-86.86492015;4525;66
"Indiana";"US";41.13863784;-85.50791236;6183;59
"Iowa";"US";41.33075609;-94.47105874;1110;37
"Iowa";"US";41.02903567;-94.69932645;565;8
"Iowa";"US";43.28383218;-91.37860922;2006;55
"Iowa";"US";40.74324454;-92.86865906;2007;56
"Iowa";"US";41.6844628;-94.90581859;731;15
"Iowa";"US";42.08011739;-92.06463573;3930;59
"Iowa";"US";42.4704581;-92.30524729;21622;371
"Iowa";"US";42.03657094;-93.9313999;3804;38
"Iowa";"US";42.77461496;-92.31795937;3850;71
"Iowa";"US";42.4709188;-91.83510825;2987;39
"Iowa";"US";42.73545875;-95.15100162;4996;48
"Iowa";"US";42.73172833;-92.79015971;2267;42
"Iowa";"US";42.38521079;-94.64046046;1948;19
"Iowa";"US";42.03617207;-94.86032705;3641;55
"Iowa";"US";41.33149454;-94.92792482;2295;66
"Iowa";"US";41.77233777;-91.13246684;2621;27
"Iowa";"US";43.08177563;-93.2612239;7769;121
"Iowa";"US";42.73538914;-95.62389402;2069;46
"Iowa";"US";43.06001295;-92.31773347;1746;21
"Iowa";"US";41.02868181;-93.78499767;1562;29
"Iowa";"US";43.08247182;-95.15096481;2930;35
"Iowa";"US";42.84443388;-91.34133693;2365;59
"Iowa";"US";41.89981633;-90.53275096;7567;111
